#,Team,Player,H,W,P,School,C,url,Strengths,Weaknesses
30,Atlanta,Brandon McCoy,7-0,255,C,UNLV,Fr.,http://www.nbadraft.net/players/brandon-mccoy,"7'0.5 center ... Solid length with a 7'2.5 wingspan and 9'1.5 standing reach ... Has extended his shooting range, can shoot from midrange and has a developing face up game. Good arc on his shot. Good stroke from the free throw line. Can hit the occasional three but doesn't drift to the perimeter too much. Made two of his five three-point attempts over the Nike EYBL ... Reliable scorer in the paint. Shot 51.6% from the field over the Nike EYBL. Isn't afraid to bang. Uses angles well in the post, squares up and uses backboard. Can finish with his left hand within close. Can score in one on one situations in the post. Shows a developing hook shot on the move ... Solid athlete ... Good motor. Runs the floor well. Gets back on defense every play ... Good rebounder. Crashes offensive glass ... Good shot blocker, has potential as a reliable rim protector ... Tries to use his size advantage at all times, backing down smaller players at every opportunity ... Communicates with teammates. Can play on either end of a high/low with another big ... Has shown great strides in his overall development over the last two years of high school, especially his awareness and coordination ...","Skillset is still raw ... Not incredibly fluid, a bit stiff when comparing him to the other big men of his class. Doesn't look comfortable on the move with the ball ... His overall feel for the game has a way to go in development ... Post-game is still raw but developing. Can score in one on one situations but struggles with double teams or working in traffic. Lacks a go-to move. Likes to bang but doesn't finish well through contact if he's not the one initiating. Forces off balance shots. Settles for contested midrange jump shots. Tends to just duck his head and go to the basket. Gets bumped off his path and loses the ball often. Footwork can improve, travels when making moves at times ... Doesn't try to do too much as a dribbler but doesn't have a great handle on the ball when he puts it on the floor. Doesn't shoot well off the dribble. ... Will force up a shot if he goes through a stretch without a touch. Can have tunnel vision for the basket ... Picks up unnecessary fouls from being out of position defensively or using his hands too much. Still learning when to leave his feet and when to stay on the ground defensively ... Mishandles passes and doesn't always catch the ball clean ..."
31,Phoenix,Elie Okobo,6-2,180,PG,France,Intl.,http://www.nbadraft.net/players/elie-okobo,"Left handed guard with a nice frame that looks that can fill up nicely... Good size and great length for his position (wingspan measured at 6-8 feet) ... Good athlete who seems to take care of his body ... Explosive guard with an above average first step ... Posseses great leaping ability ... Versatile player who can play both guard positions ... He can be used either as the ball hanlder or as an off ball guard ... He plays within the system ... His quick first step helps him blow by his opponents and attack miss-matches and closeouts ... Has the ability to penetrate from both sides and is really quick going left ... When he is concentrated is not afraid to go all the way to the basket and try to score against bigs in the paint ... Can create his own shot with ease ... His ability to score off the dribble is probably his biggest advantage ... Can create seperation from his opponent before shooting with a nice looking step back ... His pull-up Jump Shot has improved dramatically through the years ... Very good shooter ... Has NBA range in his shot, even off the dribble ... Has been used in Catch and Shot and Spot Up situations with very good results ... His 3-point shooting would be and will be higher when he learns to avoid taking tough shots ... Excellent free throw shooter ... Has great court vision and can find the open shooter ... Has the ability to pass off the bounce and on the move ... Watches all the floor, sees the lanes and can find the cutter to the basket ... Great in drive and kick situations ... Has improved considerably in Pick and Roll situations, looking more willing to find the rolling big ... He is a threat in every way possible while playing the Pick and Roll thanks to his shooting ability, explosiveness and court vision ... Moves well without the ball and can make good cuts, catching his opponent off guard ... Excells in transition as the ball handler ... Great lateral quickness when he is motivated and takes a good low stance ... Has active hands when he defends the ball ... His length and quickness help him create a lot of problems to his opponent ... Fills the lanes at an acceptable level ... Active weakside defender ... He can anticipate plays while he is in the weakside and rotate accordingly ... Great at chasing his opponent around the screens ... He has the I.Q to be in controll and not lose focus on the defensive rotations ... He can make an occasional chase down block ... Has lockdown defender potential ... ","He is not overly explosive ... He doesn't always play with the same aggressiveness ... Does not concentrate as he should at all times ... Has a lot of ups and downs, even within a game ... He is still learning the point guard position because he began his career as an off guard ... Gets sped up and plays too fast at times ... Has problems reading the game ...Turnover prone, his assist/turnover ratio could improve ... He must learn to take over a game when he has to ... He can be a streaky shooter ... He occasionaly shows a little hesitation before shooting off the dribble which causes him to lose a split second and allows his opponent to contest his shot ... He can fall in love with his shot and not attack the basket as much as he should ... He settles for a 3-point more times than he should after a big is switched on him ... Shot selection is a question mark because he has the tendency to take contested shots ... Can be impatient when he hasn't taken a shot for a while ... He doen't always drive hard to the basket and go all the way into the paint ... When he attacks the basket he looks too willing to pass rather than finish the play, which leads to turnovers ... Has problems finishing at the rim through contact and in traffic ... Has the habit of telegraphing passes and trying to pass from tough angles ... He should learn to look for the simple play rather than the flashy one ... He must mix it up more on offense and find the balance between his favorite move (step back) and driving to the basket, maybe adding some floaters to his game ... He doesn't go to the free throw line as much as you would expect for a player with his athleticism and talent ... His Pick and Roll game still needs improving, since he has the tendency to look for a shooter rather than the rolling big ... He doesn't always has a low stance on defense, depending too much on his physical tools ... He is having some problems defending the Pick and Roll, looking lost at times ... He stands away from his opponent when he is defending the weak side, something that leads to either a free shot or a rushed and wrong close out by him, which adds pressure to his team ... He might be more than willing to help coming from the weakside, but there are moments when he just freezes and watches a play happen ..."
32,Memphis,Caleb Martin,6-7,215,SG/SF,Nevada,Jr.,http://www.nbadraft.net/players/caleb-martin,,
33,Atlanta,Tony Carr,6-5,200,PG,Penn State,So.,http://www.nbadraft.net/players/tony-carr,"In his sophomore season, Tony Carr blossomed into a First-Team All-Big Ten point guard following an up and down freshman season ... A big reason for that was his much-improved jump shot, particularly from beyond the arc . Last season Carr shot just 32 percent from downtown on three attempts per game ... This year, however, he has ascended his three-point percentage all the way to 46 percent and has done so on just under six attempts per game . Carr's improved three-point shot has opened up the rest of his offensive arsenal, which allowed prompted him average a Big Ten best 19.9 points per game this season ... Carr has very good size and length for a lead guard at 6-5 and can get shots off over smaller defenders ... He is an excellent shot creator off the dribble and has become a serious threat to score in the mid-range area via pull-ups, step backs, spin dribbles, etc ... When he gets inside the arc he does a great job of using his size and length to shoot over the top of smaller defenders ... Carr also can take other guards down in the post, where he is comfortable operating as a scorer or playmaker ... He has proficient scoring instincts and understands how to get to spots where he is most effective in different situations ... Carr has also improved as a pick-and-roll ball handler and plays with nice patience in the half-court. Rarely does he get too sped up or out of control when coming off of ball screens ... Carr is a capable playmaker as well and has improved his assist to turnover ratio in his sophomore season ... When he keeps his eyes up and does not try to force the issue, he has shown flashes of solid vision ... Carr is a good free-throw shooter as well, at nearly 80 percent for the second season in a row ... He his size and length, he has some defensive upside as well, despite not being the most explosive vertical athlete ... If he can learn to become more active with his hands on the ball, he could be a guy that records a lot of steals and blocks ... Carr is also a good rebounder for a lead guard, averaging nearly five boards per game in each of his first two seasons ... He is also clearly not afraid of the big moment, as he made some big time shots late in games this season, most notably to beat Ohio State on the road and one to tie it regulation against Minnesota with time winding down ... ","Carr lacks elite burst off the dribble and does not always explode to the basket when he turns the corner ... He is also not the most explosive leaper, which hinders his ability to finish at the rim at times ... That will limit his defensive upside in the NBA, as he is not quite big enough to guard NBA two-guards, but he does not have the lateral quickness to consistently stay in front of the dynamic point guards that he will see most nights in the pros ... Carr also struggles to score against more physical defenders ... Despite having a solid 6-5 foundation to work with, he checks in under 210 pounds and can be pushed off his spots fairly easily, so he will need to add some strength at the next level ... There are questions if Carr's improved shooting may be a bit of a fluke ... Mechanically, there are no glaring hitches to his release, but his ball does not have great rotation ... Will he be able to get away with this behind a deeper NBA three-point line? The biggest knock on Carr at this stage is his inefficiency ... Last year he shot just 37 percent from the field, and while he did improve this season, he still made only a pedestrian 41 percent of his field goal attempts ... Carr is much more of a volume scorer, as he had to take a lot of shots from the field in many of his high-scoring games this season ... A big reason for that is he does not get to the free-throw line at a high rate ... For the second season in a row, Carr attempted just 4.8 free throw attempts per game, which is indicative of his tendency to settle for contested jump shots at times ... His shot selection needs some work, as he is a bit ball dominant and often tries to play hero ball instead of running the offense like you typically want from a true point guard ... The other major concern with Carr is that, outside of his perimeter shooting, he really has not improved substantially in any area since last year ... Obviously, he scored the ball at a higher rate this year, but he made just marginal strides as both a playmaker and a defender ... With his limited athleticism, he is going to have to become more than just a volume scorer if he plans to carve out any substantial role for an NBA team ... "
34,Dallas,Aaron Holiday,6-1,185,PG,UCLA,Jr.,http://www.nbadraft.net/players/aaron-holiday,,
35,Orlando,Sviatoslav Mykhailiuk,6-8,205,SG,Kansas,Sr.,http://www.nbadraft.net/players/sviatoslav-mykhailiuk,"A body built for basketball with big hands, a tremendous athlete who can finish above the rim, very explosive and quick with hand-eye coordination that is off the charts ... The best way to describe his body is a young Ginobili, similar kind of smoothness and control of his body ... He had at least one steal per game showing excellent ability to anticipate passes and the closing speed to get to the ball for steals ... But what really makes him special is his creativity and skill level ... Mykhaliuk is equally confortable with the ball in his hands or without, which is highly unusual for a 16 year old ... He played for large minutes as a combo guard (at U16) running pick and rolls for Ukraine and he showed that he can shoot from behind screens from 3pts land or attack the rim but also read the defense to make great passes ... Mykhaliuk can read the screen to take advantage of what the defense gives him ... He often attacks players in isolation, taking smaller opponents into the post ... When he doesn't have the ball, he cuts to try to find a spot where he is open ... When he struggles shooting, he attacks the basket to get fouls. The variety of ways in which he scored was absolutely amazing for a player his age ... Despite being doubled or tripled teamed every game, he always stays composed, making the right decision most of the time ... On defense he has everything to be great, quick feet and good lateral speed and he uses his length to create steals and get out on the break ... Sometimes when he is of the ball he tends to lose his defenders, but nevertheless he relentlessly hits the boards and when he gets the rebound push it himself in Lebronian way ...","Mostly related to a lack of potential development. He can do everything so well right now that it's hard to think he will actually add a great deal to his game. So the challenge will be finding ways to improve ... Obviously he can improve his left hand, and the ball handling (although it is amazing right now) needs some improvements to be efficient in the NBA as a point guard ... Mostly for him it will be important to adapt himself to playing within a good team where he is forced to share the spotlight ... Ironically I think his talent could shine even more because he is a very underrated passer who had some amazing assists you can't teach in a gym, but moving to a good team could still be difficult for him ... While he has to become stronger to be able to guard NBA guards, he will have to be carefully with his body development in order not to lose some of his unique athletic skills ... He is basically an Adetokumbo who should be considered until proven differently, a future top 10 NBA pick ..."
36,Sacramento,Chandler Hutchison,6-7,195,SG/SF,Boise State,Sr.,http://www.nbadraft.net/players/chandler-hutchison,,
37,New York,Keita Bates-Diop,6-7,235,SF,Ohio State,Sr.,http://www.nbadraft.net/players/keita-bates-diop,,
38,Philadelphia,Kerwin Roach,6-4,180,PG/SG,Texas,Jr.,http://www.nbadraft.net/players/kerwin-roach,,
39,Philadelphia,Chimezie Metu,6-10,225,PF/C,USC,Jr.,http://www.nbadraft.net/players/chimezie-metu,,
40,Brooklyn,Devonte Graham,6-2,195,PG,Kansas,Sr.,http://www.nbadraft.net/players/devonte-graham,,
41,Orlando,Keenan Evans,6-3,185,PG/SG,Texas Tech,Sr.,http://www.nbadraft.net/players/keenan-evans,,
42,Detroit,Bruce Brown,6-5,200,SG,Miami,So.,http://www.nbadraft.net/players/bruce-brown,,
43,Denver,Shake Milton,6-6,205,PG/SG,SMU,Jr.,http://www.nbadraft.net/players/shake-milton,,
44,Washington,Moritz Wagner,6-11,235,PF/C,Michigan,Jr.,http://www.nbadraft.net/players/moritz-wagner,,
45,Brooklyn,Hamidou Diallo,6-5,200,SG,Kentucky,Fr.,http://www.nbadraft.net/players/hamidou-diallo,"Has the physical tools to play primarily at the 2-guard position at the next level ... Good size at 6'5"", 200 pounds with a 6'11"" wingspan ... Broad shoulders and a frame that looks like it can add a lot of muscle ... Super athletic, possesses great length (long arms), explosive and bouncy ... Plays with a high motor ... Run-and-jump athlete extraordinaire. Great vertical leaping ability ... Measured a 44' inch vertical at last year's NBA Combine ... Aggressive on both ends on the court ... A dangerous scoring threat in transition ... Looks to throw it down on the fast break ... Fills the wings correctly when he doesn't have the ball on the break ... Plays above the rim ... His athleticism, bounce, knack for finding the ball, and high energy allows him to be a good a rebounder at his position ... A threat to crash the offensive boards for putbacks and tip-ins ... Explodes off the floor quicker than most of his opponents ... In the half court, he does a good job of attacking the rim off the bounce and overpowering his defenders on his way to the bucket ... Excels at scoring off the move ... Has a knack for getting behind the defense and rising up for alley-oop slams ... Can gain separation/space from his defenders with a quick first step ... Can get his defender off balance ... Has the ability to adjust his body in the air to score around rim protectors ... Can finish through contact ... Isn't afraid of contact and drawing fouls ... Very hard to stop when he has a full head of steam in space in the halfcourt and in transition ... Can hit rhythm pull jumpers and 3-pointers when his feet are set ... Has good elevation on his shot ... Defensively, he has the potential to be great at the next level ... Can be a lockdown defender if he commits to that end of the floor ... Plays with a tenacity on that ends of the floor ... Harasses the opposition when he's engaged as an on-ball defender ... Moves with great lateral quickness ... Great footwork on defense ... Plays the passing lanes ... Good defensive instincts ... Blocks shots ...","Still a bit raw offensively ... Feel for the game ... Relies too much on his athletic ability at this point ... He's not a consistent threat as an offensive option from game-to-game ... Has potential as a shooter, but needs to improve his shooting consistency from all areas of the court, including free throws ... Needs to tweak his shooting mechanics ... Low release on his shot ... Not a threat to shoot off the dribble ... Overall shot selection needs improvement ... Needs to play more controlled and less reckless in the half court ... Is sometimes prone to overdriving and getting caught in the lane ... Has a tendency to throw up wild floaters and shots in and around the lane ... Ball handling has room for improvement (needs to be tightened) ... He isn't a natural passer/playmaker ... Will need to work on his playmaking ability for his teammates and overall decision-making ... Needs to limit turnovers ... Tends to have lapses on defense sometimes ... Can get lost when playing off-the-ball defense ... Doesn't react well to opponent movement on-the-ball, and gets lost or lazy off-the-ball ... Low steal and block rates despite physical tools ... Closeouts are iffy at times ... Doesn't consistently stay in front and when he does he lacks the strength in his 195-pound frame to contain dribble penetration ..."
46,Houston,Jevon Carter,6-2,205,PG,West Virginia,Sr.,http://www.nbadraft.net/players/jevon-carter,,
47,LA Lakers,Malik Newman,6-3,190,SG,Kansas,So.,http://www.nbadraft.net/players/malik-newman,"A sharp shooting combo guard with great end to end speed, Malik Newman made the most of his one season at Kansas by catching fire late in the season and leading the Jayhawks to the Final 4 ... Showing great shooting touch, Newman sported very efficient shooting percentages from the floor ... Sporting clips of 46% FG, 41% from three, and 86% from the stripe ... All these clips are drastic increases from his freshman season at Mississippi State where his suspect shot selection tanked his shooting numbers ... As a redshirt sophomore, Malik showed the NBA translatable skill of being a deadly spot up shooter and floor spacer for the Jayhawks ... He also acted as a secondary ball handler, and that he could be capable in pick and roll situations despite not being a natural point guard ... One of his major strengths is his ability to man the defensive glass and push the tempo ... His 5 rebounds per game (4.5 defensive) was an extremely high number for a 6'3'' player ... This strength paired well with his ability as a straight line driver, allowed him to be a major threat in transition ... In today's wide open NBA landscape, a guard who's capable of hitting the glass and pushing the tempo in transition is a valuable thing in which to excel ... As mentioned earlier, Newman is only 6'3'' but he was able to finish around the rim at 60% (according to hoop-math.com) which is a good number for a player of his size and athletic profile ... Athletically he's very quick and has good end to end speed, while not overly athletic, he's pretty well muscled and is in very good shape from a conditioning standpoint (averaged 37.8 mpg in the NCAA tournament, and always had great energy) ... He's improved a lot as a defender, and should be capable of guarding NBA point guards ... Malik Newman showed great maturity at Kansas, and proved he was capable of meshing with a team with bona fide standout and still find a way excel at what he does best ... ","Malik is not a point guard, and lacks the size to guard NBA two guards ... His 6'5.5'' wingspan is solid for a 6'3'' player, but not enough to make think he could handle any position other than an NBA point, defensively ... From a leaping standard he's solid, but not elite ... Not an above the rim player, NBA rim protectors could give him issues ... He has seen the likes of Mo Bamba, Wendel Carter Jr, and Sagaba Konate and fared well, but seeing elite rim protectors night in and night out could diminish some of his effectiveness as a driver ... While he's improved his shot selection mightily, he can still fall back into bad habits and force contested mid-range jumpers when trying to find rhythm ... Can get a little reckless in transition at times, and go head on into 1-3 situations ... He'll need to temper this part of his game if he hopes to maximize his ability to push the ball on the break ... "
48,Minnesota,Josh Okogie,6-4,215,SG/SF,Georgia Tech,So.,http://www.nbadraft.net/players/josh-okogie,,
49,San Antonio,Austin Wiley,6-11,255,C,Auburn,So.,http://www.nbadraft.net/players/austin-wiley,,
50,Indiana,Goga Bitadze,6-11,250,C,Rep. of Georgia,Intl.,http://www.nbadraft.net/players/goga-bitadze,"Good size for his position... Solid wingspan, measured at 7'2''... Has good balance and mobility for his size ... Very strong kid ... He is not a great athlete, but he is sneaky athletic ... When he has time to gather he can finish strong at the rim ... He is a high energy player, who loves banging in the post ... He is a competitor, who playes with passion and is not afraid of contact ... Has improved his body considerably through the years and has lost the baby fat he was carrying ... He runs the floor well for a big ... He likes to spend time in the post ... He has nice footwork in the post and has shown the ability to turn over both shoulders ... Has a nice right jump hook as a go-to move ... Has improved his midrange shot and he is actually a threat from 15-20 feet ... Sets good screens on and off the ball ... His good footwork makes him effective in pick n' roll situations ... Has shown the ability to roll hard to the basket after he sets a screen in pick n' roll situations ... He has good hands and can score on the move ... Has been used a lot in pick n' pop situations with good results ... Has tried to faceup with mixed results for now ... Has Stretch big potential ... He is a solid free throw shooter ... Very good rebounder, with this being probably his most translatable skill at the next level for now ... Rarely forgets to box out on defense and has a good feel for positioning ... He is relentless on the offensive glass and puts a lot of pressure on his opponents ... Willing passer ... A good shot blocker with good timing ... Has active hands on defense ... Not afraid to band bodies when defending in the post ... ","He lacks explosiveness ... He is not a huge leaper ... His second jump isn't always as strong as the first ... His body has improved, but he must continue bulking up ... Lower body needs work ... Very emotional player, which isn't always good, since at time he loses focus for a few plays ... He is a little clumsy at times on both ends of the floor ... He might not be afraid of contact, but bigger and more experienced opponents can make life difficult for him on defense ... He doesn't always finish strong at the rim, which leads to bad misses around the basket ... Has problems finishing through contact and in traffic ... He is not a consistent shooter for now ... His free throw shooting could improve ... He must be able to mix it up when he plays with his back to the basket, maybe add some up and under moves ... He doesn't know how to read double-teams for now ... His passing needs work ... Turnover prone, mainly due to inexperience ... His pick n' roll defense needs work ... He is a willing defender on pick n' roll situations and has a good low stance, but his average lateral quickness limits him ... He &ldquo;bites"" on fakes and commits bad fouls ... He really needs to learn the law of verticality and not just go for the block all the time ... Can be foul prone due to his clumsiness and emotional playing ... At times he loses focus when he defends away of the ball... "
51,New Orleans,Jacob Evans,6-6,210,SF,Cincinnati,Jr.,http://www.nbadraft.net/players/jacob-evans,,
52,Utah,De'Anthony Melton,6-3,195,PG/SG,USC,So.,http://www.nbadraft.net/players/de'anthony-melton,,
53,Oklahoma Cty,Justin Jackson MD,6-7,225,SF,Maryland,So.,http://www.nbadraft.net/players/justin-jackson-md,,
54,Dallas,Jalen Hudson,6-6,190,SG,Florida,Jr.,http://www.nbadraft.net/players/jalen-hudson,,
55,Charlotte,Rawle Alkins,6-4,225,SG,Arizona,So.,http://www.nbadraft.net/players/rawle-alkins,"Alkins is a natural scorer who did not always have the opportunity to showcase his offensive ability this past season at Arizona due to an abundance of offensive talent on the roster ... He has great strength in a filled out frame, which allows him to out muscle defenders and create space for his shot ... Has a very nice looking shot, with consistent form ... His strength allows him to maintain great body control in the air and finish acrobatically at the rim ... He is a good ball handler and uses his size well to get into the lane ... Alkins is also proficient at creating offense for himself and is a capable shot maker from all over the floor ... He particularly excels at scoring off the move and off the dribble ... He plays an up-tempo attacking style and constantly puts pressure on the defense ... Alkins has good burst and a quick first step ... He is not a great shooter, but he has an improving three point shot that could continue to get better in the future ... He also uses a nice step back jumper and overall good scoring touch ... He almost looks like a man among boys against players his age with a combination of power and athleticism ... Alkins is also a solid rebounder for his position, a category in which he averages just fewer than five per game in his freshman season at Arizona ... His combination of strength and athleticism allows him to carve out space and out-compete other guards for loose balls ... Although he did not assume the role of a primary playmaker this past season, he is a decent playmaker with potential to improve in this area as well ... Alkins' defensive potential is also enticing, as he has quick feet that allow him to guard multiple positions ... He has the strength and size to contain bigger guards, while maintaining the foot speed to stay in front of smaller, quicker guards ... ","As physically imposing as Alkins is, many of his skills have some catching up to do ... He tends to force the issue at times on offense and could improve his shot selection ... While he has potential as a playmaker for his ability to put pressure on the defense, he doesn't do a good job of moving the ball and getting teammates involved at this stage ... He is also not a consistent above the rim player and doesn't have great length ... Alkins also does not always put in the effort on defense or get back in transition, and he has a bad tendency to reach for steals and commit fouls instead of sliding his feet and staying in front of his man ... He doesn't yet understand how to best utilize his physical tools, especially on the defensive end of the floor ... His occasional disinterest defensively tends to impact his reactions and lateral quickness, and he can give up easy straight line drives ... Offensively, he tends to be a little upright and will need to learn to play lower to the ground to be as effective getting to the rim in a half-court game ... While his shot is improving (37% 3s), he could still become a bit more consistent from the perimeter to open up his driving game ... He is also at times out of control on offense, leading to turnovers, and he does not have a great feel for the game (averaged almost as many turnovers as assists this past season) ... Alkins is undersized at 6'4 to play the shooting guard position and tends to rely too much on his raw strength ... He also played more of a subordinate role at Arizona this season with players like <a class='nba_player-link' href='/players/allonzo-trier'>Allonzo Trier</a> and <a class='nba_player-link' href='/players/lauri-markkanen'>Lauri Markkanen</a> being the go-to offensive players ... Will he be able to assume a larger offensive role?"
56,Philadelphia,Jaylen Adams,6-2,190,PG/SG,St. Bonaventure,Sr.,http://www.nbadraft.net/players/jaylen-adams,,
57,Oklahoma Cty,Cody Martin,6-7,210,PG/SG,Nevada,Jr.,http://www.nbadraft.net/players/cody-martin,,
58,Denver,Kendall Stephens,6-7,205,SG/SF,Nevada,Sr.,http://www.nbadraft.net/players/kendall-stephens,,
59,Phoenix,Kevin Hervey,6-8,230,SF,Texas Arlington,Sr.,http://www.nbadraft.net/players/kevin-hervey,,
60,Philadelphia,Robert Franks,6-7,240,SF/PF,Washington St...,Jr.,http://www.nbadraft.net/players/robert-franks,,
